INFO:root:2025-07-29 00:52:49 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:49 | EAR=0.31 | Active
INFO:root:2025-07-29 00:52:49 | EAR=0.09 | Active
INFO:root:2025-07-29 00:52:49 | EAR=0.13 | Active
INFO:root:2025-07-29 00:52:49 | EAR=0.30 | Active
INFO:root:2025-07-29 00:52:49 | EAR=0.31 | Active
INFO:root:2025-07-29 00:52:49 | EAR=0.31 | Active
INFO:root:2025-07-29 00:52:50 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:50 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:50 | EAR=0.26 | Active
INFO:root:2025-07-29 00:52:50 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:50 | EAR=0.30 | Active
INFO:root:2025-07-29 00:52:50 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:50 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:50 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:50 | EAR=0.33 | Active
INFO:root:2025-07-29 00:52:50 | EAR=0.30 | Active
INFO:root:2025-07-29 00:52:50 | EAR=0.13 | Active
INFO:root:2025-07-29 00:52:50 | EAR=0.11 | Active
INFO:root:2025-07-29 00:52:50 | EAR=0.13 | Active
INFO:root:2025-07-29 00:52:51 | EAR=0.22 | Active
INFO:root:2025-07-29 00:52:51 | EAR=0.26 | Active
INFO:root:2025-07-29 00:52:51 | EAR=0.25 | Active
INFO:root:2025-07-29 00:52:51 | EAR=0.25 | Active
INFO:root:2025-07-29 00:52:51 | EAR=0.26 | Active
INFO:root:2025-07-29 00:52:51 | EAR=0.26 | Active
INFO:root:2025-07-29 00:52:51 | EAR=0.25 | Active
INFO:root:2025-07-29 00:52:51 | EAR=0.27 | Active
INFO:root:2025-07-29 00:52:51 | EAR=0.26 | Active
INFO:root:2025-07-29 00:52:51 | EAR=0.26 | Active
INFO:root:2025-07-29 00:52:51 | EAR=0.26 | Active
INFO:root:2025-07-29 00:52:51 | EAR=0.26 | Active
INFO:root:2025-07-29 00:52:51 | EAR=0.24 | Active
INFO:root:2025-07-29 00:52:51 | EAR=0.28 | Drowsy
INFO:root:2025-07-29 00:52:54 | EAR=0.32 | Drowsy
INFO:root:2025-07-29 00:52:56 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:56 | EAR=0.31 | Active
INFO:root:2025-07-29 00:52:56 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:56 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:56 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:57 | EAR=0.32 | Active
INFO:root:2025-07-29 00:52:57 | EAR=0.31 | Active
INFO:root:2025-07-29 00:52:57 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:57 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:57 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:57 | EAR=0.28 | Active
INFO:root:2025-07-29 00:52:57 | EAR=0.29 | Active
INFO:root:2025-07-29 00:52:57 | EAR=0.28 | Active
